pincode,city,state,pickup,delivery,zone
131023,Sonipat,Haryana,Y,Y,d
131024,Sonipat,Haryana,Y,Y,d
131025,Sonipat,Haryana,N,N,d
131026,Sonipat,Haryana,N,N,d
131027,Sonipat,Haryana,Y,Y,d
131028,Sonipat,Haryana,Y,Y,d
131029,Sonipat,Haryana,Y,Y,d
131030,Sonipat,Haryana,Y,Y,d
131031,Sonipat,Haryana,N,N,d
131032,Sonipat,Haryana,N,N,d
131033,Sonipat,Haryana,N,N,d
131034,Sonipat,Haryana,N,N,d
131035,Sonipat,Haryana,N,N,d
131036,Sonipat,Haryana,N,N,d
131037,Sonipat,Haryana,N,N,d
131038,Panipat,Haryana,N,N,d
131039,Sonipat,Haryana,Y,Y,d
131040,Sonipat,Haryana,Y,Y,d
131101,Samalkha,Haryana,Y,Y,d
131102,Panipat,Haryana,Y,Y,d
131103,Sonipat,Haryana,Y,Y,d
131104,Sonipat,Haryana,N,N,d
131105,Sonipat,Haryana,N,N,d
131106,Sonipat,Haryana,N,N,d
131107,Sonipat,Haryana,N,N,d
131108,Sonipat,Haryana,N,N,d
131109,Sonipat,Haryana,N,N,d
131110,Sonipat,Haryana,N,N,d
131111,Sonipat,Haryana,N,N,d
131112,Sonipat,Haryana,N,N,d
131113,Sonipat,Haryana,N,N,d
131114,Sonipat,Haryana,N,N,d
131115,Sonipat,Haryana,N,N,d
131301,Gohana,Haryana,Y,Y,d
131302,Gohana,Haryana,Y,Y,d
131303,Gohana,Haryana,Y,Y,d
131304,Gohana,Haryana,Y,Y,d
131305,Gohana,Haryana,Y,Y,d
131306,Gohana,Haryana,Y,Y,d
131307,Gohana,Haryana,Y,Y,d
131309,Gohana,Haryana,Y,Y,d
131310,Gohana,Haryana,Y,Y,d
131402,Sonipat,Haryana,Y,Y,d
131403,Sonipat,Haryana,Y,Y,d
131407,Sonipat,Haryana,Y,Y,d
131408,Sonipat,Haryana,Y,Y,d
131409,Sonipat,Haryana,Y,Y,d
132000,Panipat,Haryana,Y,Y,d
132001,Karnal,Haryana,Y,Y,d
132002,KARNAL,Haryana,N,N,d
132004,Karnal,Haryana,N,N,d
132013,Panipat,Haryana,N,N,d
